תיק כפול,תיק מקורי,מצב תיק מקורי בנמלה,כתובת,פסק דין?,בג"ץ?,דחיה על הסף?,פעולה שיש לבצע
3550/2016,2614/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\140\026\h07&fileName=16026140_h07.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
343/2015,295/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\950\002\e05&fileName=15002950_e05.txt&type=2,כן,,,הוספה לנמלה
363/2015,295/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\950\002\e05&fileName=15002950_e05.txt&type=2,כן,,,הוספה לנמלה
6330/2013,6111/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\110\061\z09&fileName=13061110_z09.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
3752/2013,3702/2013,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\13\020\037\k11&fileName=13037020_k11.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
7520/2010,7490/2010,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\10\900\074\c06&fileName=10074900_c06.txt&type=2,כן,,,הוספה לנמלה
1164/2015,687/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\870\006\c08&fileName=15006870_c08.txt&type=2,כן,כן,,הוספה לנמלה
858/2015,687/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\870\006\c08&fileName=15006870_c08.txt&type=2,כן,כן,,הוספה לנמלה
1201/2015,687/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\870\006\c08&fileName=15006870_c08.txt&type=2,כן,כן,,הוספה לנמלה
6212/2015,5247/2015,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\15\470\052\e03&fileName=15052470_e03.txt&type=2,כן,,,הוספה לנמלה
6917/2016,6833/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\330\068\i02&fileName=16068330_i02.txt&type=2,כן,,,הוספה לנמלה
434/2016,401/2016,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\16\010\004\i08&fileName=16004010_i08.txt&type=2,כן,,,הוספה לנמלה
6266/2014,5650/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\500\056\k07&fileName=14056500_k07.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
9456/2012,8894/2012,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\12\940\088\t02&fileName=12088940_t02.txt&type=2,כן,,,הוספה לנמלה
242/2011,129/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\290\001\o06&fileName=11001290_o06.txt&type=2,כן,,,הוספה לנמלה
148/2011,129/2011,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\11\290\001\o06&fileName=11001290_o06.txt&type=2,כן,,,הוספה לנמלה
3356/2014,3340/2014,קודד,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts\14\400\033\s10&fileName=14033400_s10.txt&type=2,,,,העתקת  קידוד מהתיק המקורי
